#Image                      Noise
OPHCORE_20190114_00079_450_EA3_mjybm_cr_sm.sdf  60.87
OPHCORE_20190216_00033_450_EA3_mjybm_cr_sm.sdf  56.59
OPHCORE_20190316_00055_450_EA3_mjybm_cr_sm.sdf  61.29
OPHCORE_20190418_00035_450_EA3_mjybm_cr_sm.sdf  86.43
OPHCORE_20190520_00035_450_EA3_mjybm_cr_sm.sdf  300.57
OPHCORE_20190707_00015_450_EA3_mjybm_cr_sm.sdf  1037.32
OPHCORE_20190813_00021_450_EA3_mjybm_cr_sm.sdf  516.04
OPHCORE_20200118_00036_450_EA3_mjybm_cr_sm.sdf  56.22
OPHCORE_20200222_00065_450_EA3_mjybm_cr_sm.sdf  57.41
SERPM_20160202_00054_450_EA3_mjybm_cr_sm.sdf  293.04
SERPM_20160223_00050_450_EA3_mjybm_cr_sm.sdf  92.86
SERPM_20160317_00051_450_EA3_mjybm_cr_sm.sdf  61.81
SERPM_20160415_00046_450_EA3_mjybm_cr_sm.sdf  67.26
SERPM_20160521_00039_450_EA3_mjybm_cr_sm.sdf  353.81
SERPM_20160722_00023_450_EA3_mjybm_cr_sm.sdf  239.44
SERPM_20160827_00012_450_EA3_mjybm_cr_sm.sdf  179.33
SERPM_20160929_00012_450_EA3_mjybm_cr_sm.sdf  243.62
SERPM_20170222_00070_450_EA3_mjybm_cr_sm.sdf  300.33
SERPM_20170320_00056_450_EA3_mjybm_cr_sm.sdf  156.11
SERPM_20170403_00053_450_EA3_mjybm_cr_sm.sdf  111.98
SERPM_20170417_00044_450_EA3_mjybm_cr_sm.sdf  83.45
SERPM_20170505_00035_450_EA3_mjybm_cr_sm.sdf  73.73
SERPM_20170519_00030_450_EA3_mjybm_cr_sm.sdf  344.57
SERPM_20170602_00041_450_EA3_mjybm_cr_sm.sdf  226.39
SERPM_20170616_00025_450_EA3_mjybm_cr_sm.sdf  350.94
SERPM_20170705_00027_450_EA3_mjybm_cr_sm.sdf  327.05
SERPM_20170721_00017_450_EA3_mjybm_cr_sm.sdf  238.9
SERPM_20170810_00024_450_EA3_mjybm_cr_sm.sdf  147.73
SERPM_20170825_00016_450_EA3_mjybm_cr_sm.sdf  115.68
SERPM_20170912_00022_450_EA3_mjybm_cr_sm.sdf  296.36
SERPM_20170926_00016_450_EA3_mjybm_cr_sm.sdf  116.88
SERPM_20171018_00014_450_EA3_mjybm_cr_sm.sdf  266.09
SERPM_20171108_00011_450_EA3_mjybm_cr_sm.sdf  359.44
SERPM_20180310_00044_450_EA3_mjybm_cr_sm.sdf  274.99
SERPM_20180330_00039_450_EA3_mjybm_cr_sm.sdf  156.98
SERPM_20180425_00021_450_EA3_mjybm_cr_sm.sdf  81.39
SERPM_20180614_00029_450_EA3_mjybm_cr_sm.sdf  192.31
SERPM_20180708_00023_450_EA3_mjybm_cr_sm.sdf  322.56
SERPM_20180910_00022_450_EA3_mjybm_cr_sm.sdf  160.11
SERPM_20180917_00019_450_EA3_mjybm_cr_sm.sdf  198.76
SERPM_20181002_00010_450_EA3_mjybm_cr_sm.sdf  162.66
SERPM_20181023_00012_450_EA3_mjybm_cr_sm.sdf  633.6
SERPM_20181102_00011_450_EA3_mjybm_cr_sm.sdf  883.71
SERPM_20190205_00071_450_EA3_mjybm_cr_sm.sdf  165.71
SERPM_20190216_00036_450_EA3_mjybm_cr_sm.sdf  55.46
SERPM_20190226_00065_450_EA3_mjybm_cr_sm.sdf  254.72
SERPM_20190310_00065_450_EA3_mjybm_cr_sm.sdf  371.54
SERPM_20190317_00062_450_EA3_mjybm_cr_sm.sdf  70.02
SERPM_20190325_00058_450_EA3_mjybm_cr_sm.sdf  161.39
SERPM_20190408_00053_450_EA3_mjybm_cr_sm.sdf  204.96
SERPM_20190422_00050_450_EA3_mjybm_cr_sm.sdf  448.03
SERPM_20190507_00052_450_EA3_mjybm_cr_sm.sdf  154.68
SERPM_20190524_00047_450_EA3_mjybm_cr_sm.sdf  394.48
SERPM_20190608_00047_450_EA3_mjybm_cr_sm.sdf  1154.35
SERPM_20190711_00033_450_EA3_mjybm_cr_sm.sdf  71.03
SERPM_20190813_00011_450_EA3_mjybm_cr_sm.sdf  593.48
SERPM_20190827_00011_450_EA3_mjybm_cr_sm.sdf  218.64
SERPM_20190930_00022_450_EA3_mjybm_cr_sm.sdf  569.78
SERPM_20191019_00014_450_EA3_mjybm_cr_sm.sdf  96.37
SERPM_20200222_00078_450_EA3_mjybm_cr_sm.sdf  47.48
SERPM_20200307_00063_450_EA3_mjybm_cr_sm.sdf  142.78
SERPS_20160202_00058_450_EA3_mjybm_cr_sm.sdf  239.83
SERPS_20160223_00065_450_EA3_mjybm_cr_sm.sdf  71.92
SERPS_20160317_00052_450_EA3_mjybm_cr_sm.sdf  63.52
SERPS_20160415_00048_450_EA3_mjybm_cr_sm.sdf  64.44
